candidate_id,candidate_title,year,cos,meta,final,seed,comp_genres,comp_keywords,comp_cast,comp_director,comp_runtime,comp_language,comp_popularity,comp_vote,name_norm,year_str,genre_list,director_list,watchlist_priority,genre_boost,director_boost,genre_penalty,director_penalty,score,cos_norm,final_norm,s_gnn,s_gnn_norm,ensemble_0.2,ensemble_0.4,ensemble_0.6,ensemble_0.8,test_relevant
2661,Batman,1966.0,0.2131,0.4507,0.3082,21 Jump Street,1.0,0.0606,0.0,0.0,0.9912,1.0,0.8997,0.8805,batman,1966.0,[],[],False,False,False,False,False,0,0.0,0.0,13.999171257019043,0.0,0.0,0.0,0.0,0.0,False
1272,Sunshine,2007.0,0.0,0.5124,0.2049,28 Days Later,0.6667,0.0244,0.0303,1.0,0.9802,1.0,0.7837,0.9312,sunshine,2007.0,[],[],True,False,False,False,False,2,0.0,0.0,13.999171257019043,0.0,0.0,0.0,0.0,0.0,False
2665,Airplane II: The Sequel,1982.0,0.0,0.4854,0.1942,Airplane!,1.0,0.0938,0.1765,0.0,0.995,1.0,0.9344,0.6985,airplane ii: the sequel,1982.0,[],[],False,False,False,False,False,0,0.0,0.0,-14.135814666748047,0.0,0.0,0.0,0.0,0.0,False
10144,The Little Mermaid,1989.0,0.0,0.5216,0.2086,Aladdin,0.6,0.125,0.0256,1.0,0.956,1.0,0.9617,0.9115,the little mermaid,1989.0,[],[],False,False,False,False,False,0,0.0,0.0,-14.135814666748047,0.0,0.0,0.0,0.0,0.0,False
9451,Election,1999.0,0.0,0.4522,0.1809,Alex Strangelove,1.0,0.0345,0.0,0.0,0.9912,1.0,0.9877,0.9267,election,1999.0,[],[],False,False,False,False,False,0,0.0,0.21999995600001213,-14.135814666748047,0.0,0.1759999648000097,0.13199997360000726,0.08799998240000485,0.04399999120000241,False
1546,Thumbsucker,2005.0,0.0,0.4532,0.1813,Alex Strangelove,1.0,0.0476,0.0,0.0,0.995,1.0,0.9843,0.8947,thumbsucker,2005.0,[],[],False,False,False,False,False,0,0.0,0.29999994000001196,-14.135814666748047,0.0,0.23999995200000956,0.17999996400000717,0.11999997600000478,0.05999998800000238,False
11004,Wonder Boys,2000.0,0.0,0.4495,0.1798,Alex Strangelove,1.0,0.0333,0.0,0.0,0.9231,1.0,0.9893,0.9438,wonder boys,2000.0,[],[],False,False,False,False,False,0,0.0,0.0,-14.135814666748047,0.0,0.0,0.0,0.0,0.0,False
25350,Imaginary Heroes,2004.0,0.0,0.4619,0.1848,Alex Strangelove,1.0,0.0833,0.0,0.0,0.9231,1.0,0.9942,0.988,imaginary heroes,2004.0,[],[],False,False,False,False,False,0,0.0,0.99999980000004,-14.135814666748047,0.0,0.799999840000032,0.5999998800000239,0.399999920000016,0.19999996000000794,False
10115,Stick It,2006.0,0.0,0.4583,0.1833,Alex Strangelove,1.0,0.0625,0.0,0.0,0.9802,1.0,0.9971,0.938,stick it,2006.0,[],[],False,False,False,False,False,0,0.0,0.699999860000028,-14.135814666748047,0.0,0.5599998880000224,0.4199999160000168,0.2799999440000112,0.13999997200000558,False
11954,Lifeforce,1985.0,0.0,0.4486,0.1794,Alien Resurrection,1.0,0.04,0.0,0.0,0.9731,1.0,0.857,0.981,lifeforce,1985.0,[],[],False,False,False,False,False,0,0.0,0.0,-14.135814666748047,0.0,0.0,0.0,0.0,0.0,False
9348,Species,1995.0,0.0,0.4642,0.1857,Alien Resurrection,1.0,0.1111,0.0,0.0,0.9994,1.0,0.8862,0.9535,species,1995.0,[],[],False,False,False,False,False,0,0.0,0.9999998412698664,-14.135814666748047,0.0,0.7999998730158931,0.5999999047619198,0.3999999365079466,0.19999996825397323,False
2756,The Abyss,1989.0,0.0,0.4592,0.1837,Aliens,0.5,0.0,0.0256,1.0,0.995,1.0,0.7502,0.8367,the abyss,1989.0,[],[],True,False,False,False,False,2,0.0,0.0,13.999171257019043,0.0,0.0,0.0,0.0,0.0,False
28200,Sylvia,2003.0,0.056,0.4173,0.2005,All My Life,1.0,0.0,0.0,0.0,0.8674,1.0,0.9768,0.501,sylvia,2003.0,[],[],False,False,False,False,False,0,0.9999999821428575,0.9999999346405272,-14.135814666748047,0.0,0.7999999477124218,0.5999999607843163,0.3999999738562109,0.1999999869281054,False
444951,New Life,2016.0,0.0,0.463,0.1852,All My Life,1.0,0.1429,0.0,0.0,0.995,1.0,0.9667,0.726,new life,2016.0,[],[],False,False,False,False,False,0,0.0,0.0,-14.135814666748047,0.0,0.0,0.0,0.0,0.0,False
623388,Hammer: The 'Rootin' for Regen' story,2017.0,0.0,0.4653,0.1861,All My Life,0.5,1.0,0.0,0.0,0.8183,1.0,0.9881,0.0,hammer: the 'rootin' for regen' story,2017.0,[],[],False,False,False,False,False,0,0.0,0.058823525567088766,-14.135814666748047,0.0,0.04705882045367102,0.03529411534025326,0.02352941022683551,0.011764705113417751,False
812284,A.rtificial I.mmortality,2021.0,0.0,0.4519,0.1808,AlphaGo,1.0,0.1667,0.0,0.0,0.8674,1.0,0.9948,0.51,a.rtificial i.mmortality,2021.0,[],[],False,False,False,False,False,0,0.0,0.99999750000625,-14.135814666748047,0.0,0.799998000005,0.59999850000375,0.3999990000025,0.19999950000124994,False
653734,Coded Bias,2020.0,0.0,0.451,0.1804,AlphaGo,1.0,0.0625,0.0,0.0,0.9912,1.0,0.9976,0.782,coded bias,2020.0,[],[],False,False,False,False,False,0,0.0,0.0,-14.135814666748047,0.0,0.0,0.0,0.0,0.0,False
9513,Garfield: A Tail of Two Kitties,2006.0,0.0,0.4855,0.1942,Alvin and the Chipmunks,0.5,0.069,0.0526,1.0,0.8825,1.0,0.8957,0.945,garfield: a tail of two kitties,2006.0,[],[],False,False,False,False,False,0,0.0,0.9999999337748389,-14.135814666748047,0.0,0.7999999470198711,0.5999999602649033,0.39999997350993555,0.19999998675496772,False
2698,Evan Almighty,2007.0,0.0,0.4478,0.1791,Alvin and the Chipmunks,1.0,0.0323,0.0,0.0,0.9912,1.0,0.8956,0.9397,evan almighty,2007.0,[],[],False,False,False,False,False,0,0.0,0.0,-14.135814666748047,0.0,0.0,0.0,0.0,0.0,False
646380,Don't Look Up,2021.0,0.0,0.4594,0.1837,Anchorman 2: The Legend Continues,0.5,0.0357,0.0,1.0,0.8183,1.0,0.96,0.766,don't look up,2021.0,[],[],True,False,False,False,False,2,0.0,0.0,13.999171257019043,0.0,0.0,0.0,0.0,0.0,False
26497,Impy's Island,2006.0,0.0,0.4777,0.1911,Animals United,0.5,0.0,0.0455,1.0,0.9802,1.0,0.9418,0.95,impy's island,2006.0,[],[],False,False,False,False,False,0,0.0,0.0,-14.135814666748047,0.0,0.0,0.0,0.0,0.0,False
1939,Laura,1944.0,0.1804,0.3457,0.2465,Antlers,0.6667,0.0,0.0,0.0,0.935,1.0,0.9958,0.6493,laura,1944.0,[],[],False,False,False,False,False,0,0.0,0.0,-14.135814666748047,0.0,0.0,0.0,0.0,0.0,False
924,Dawn of the Dead,2004.0,0.0,0.4793,0.1917,Army of the Dead,0.6667,0.0435,0.0,1.0,0.2931,1.0,0.9935,0.7925,dawn of the dead,2004.0,[],[],False,False,False,False,False,0,0.0,0.0,-14.135814666748047,0.0,0.0,0.0,0.0,0.0,False
1571,Live Free or Die Hard,2007.0,0.0,0.4564,0.1825,Ballerina,0.6667,0.0,0.0,1.0,0.995,1.0,0.0,0.7987,live free or die hard,2007.0,[],[],False,False,False,False,False,0,0.0,0.0,-14.135814666748047,0.0,0.0,0.0,0.0,0.0,False
9388,Thank You for Smoking,2005.0,0.0,0.4548,0.1819,Big Time Adolescence,1.0,0.0303,0.0,0.0,0.9994,1.0,0.9765,0.9995,thank you for smoking,2005.0,[],[],True,False,False,False,False,2,0.0,0.9999990909099175,13.999171257019043,0.9999999999644571,0.9999992727208254,0.9999994545317333,0.9999996363426413,0.9999998181535491,False
25248,Saint Ralph,2005.0,0.0,0.4532,0.1813,Big Time Adolescence,1.0,0.0455,0.0,0.0,0.9912,1.0,0.9751,0.916,saint ralph,2005.0,[],[],False,False,False,False,False,0,0.0,0.45454504132268286,-14.135814666748047,0.0,0.3636360330581463,0.2727270247936097,0.18181801652907315,0.09090900826453656,False
11129,Human Traffic,1999.0,0.0,0.4521,0.1808,Big Time Adolescence,1.0,0.0455,0.0,0.0,0.9651,1.0,0.9923,0.9025,human traffic,1999.0,[],[],False,False,False,False,False,0,0.0,0.0,-14.135814666748047,0.0,0.0,0.0,0.0,0.0,False
1924,Superman,1978.0,0.2444,0.4698,0.3345,Black Panther,1.0,0.1304,0.0,0.0,0.956,1.0,0.9719,0.9457,superman,1978.0,[],[],False,False,False,False,False,0,0.0,0.0,-14.135814666748047,0.0,0.0,0.0,0.0,0.0,False
1850,Man on the Moon,1999.0,0.0,0.4551,0.182,BlackBerry,1.0,0.0333,0.0,0.0,0.9978,1.0,0.9893,0.982,man on the moon,1999.0,[],[],False,False,False,False,False,0,0.0,0.0,-14.135814666748047,0.0,0.0,0.0,0.0,0.0,False
1397640,Cameron Esposito: Four Pills,2025.0,0.0,0.4632,0.1853,Bo Burnham: What.,1.0,0.1429,0.0,0.0,0.995,1.0,0.9842,0.714,cameron esposito: four pills,2025.0,[],[],False,False,False,False,False,0,0.0,0.0,-15.094339370727539,0.0,0.0,0.0,0.0,0.0,False
1542,Office Space,1999.0,0.0,0.4529,0.1812,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,1.0,0.0645,0.0,0.0,0.9802,1.0,0.968,0.8518,office space,1999.0,[],[],False,False,False,False,False,0,0.0,0.9999990000010001,-14.135814666748047,0.0,0.7999992000008,0.5999994000006,0.3999996000004,0.19999980000019996,False
27223,Lost in America,1985.0,0.0,0.4506,0.1802,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,1.0,0.0357,0.0,0.0,0.9731,1.0,0.9255,0.9705,lost in america,1985.0,[],[],False,False,False,False,False,0,0.0,0.0,-14.135814666748047,0.0,0.0,0.0,0.0,0.0,False
26771,That Sinking Feeling,1980.0,0.0,0.4509,0.1804,Bottle Rocket,1.0,0.05,0.0,0.0,0.9978,1.0,0.968,0.852,that sinking feeling,1980.0,[],[],False,False,False,False,False,0,0.0,0.0,-15.094339370727539,0.0,0.0,0.0,0.0,0.0,False
10872,The Ref,1994.0,0.0,0.4586,0.1835,Bottle Rocket,1.0,0.0588,0.0,0.0,0.9802,1.0,0.9941,0.963,the ref,1994.0,[],[],False,False,False,False,False,0,0.0,0.9999996774194589,-15.094339370727539,0.0,0.7999997419355672,0.5999998064516754,0.3999998709677836,0.19999993548389175,False
1656,The Legend of Zorro,2005.0,0.0,0.4523,0.1809,Casino Royale,0.5,0.0294,0.0,1.0,0.8825,1.0,0.9058,0.6405,the legend of zorro,2005.0,[],[],False,False,False,False,False,0,0.0,0.0,-14.135814666748047,0.0,0.0,0.0,0.0,0.0,False
9342,The Mask of Zorro,1998.0,0.0,0.506,0.2024,Casino Royale,0.6667,0.0312,0.0,1.0,0.9651,1.0,0.9434,0.753,the mask of zorro,1998.0,[],[],False,False,False,False,False,0,0.0,0.9999999534883742,-14.135814666748047,0.0,0.7999999627906994,0.5999999720930245,0.3999999813953497,0.1999999906976748,False
24662,Cats Don't Dance,1997.0,0.0,0.5258,0.2103,Chicken Little,0.75,0.0,0.0526,1.0,0.9731,1.0,0.9107,0.6715,cats don't dance,1997.0,[],[],False,False,False,False,False,0,0.0,0.0,-14.135814666748047,0.0,0.0,0.0,0.0,0.0,False
533,Wallace & Gromit: The Curse of the Were-Rabbit,2005.0,0.0,0.4783,0.1913,Chicken Run,0.75,0.2414,0.0,0.3333,0.9994,1.0,0.9217,0.9295,wallace & gromit: the curse of the were-rabbit,2005.0,[],[],False,False,False,False,False,0,0.0,0.0,-15.094339370727539,0.0,0.0,0.0,0.0,0.0,False
10151,Snow White,2005.0,0.0711,0.4214,0.2112,Christiane F.,1.0,0.0,0.0,0.0,0.8353,1.0,0.9669,0.625,snow white,2005.0,[],[],False,False,False,False,False,0,0.0,0.0,-14.135814666748047,0.0,0.0,0.0,0.0,0.0,False
9356,Look Who's Talking Too,1990.0,0.0,0.5768,0.2307,Clueless,1.0,0.05,0.0256,1.0,0.8674,1.0,0.8217,0.5445,look who's talking too,1990.0,[],[],False,False,False,False,False,0,0.0,0.0,-14.135814666748047,0.0,0.0,0.0,0.0,0.0,False
27429,Shivers,1975.0,0.0,0.5846,0.2339,Crimes of the Future,1.0,0.0,0.0,1.0,0.8183,1.0,0.9589,0.9155,shivers,1975.0,[],[],True,False,False,False,False,2,0.0,0.0,13.800823211669922,0.0,0.0,0.0,0.0,0.0,False
10133,Cypher,2002.0,0.0343,0.5164,0.2271,Cube,0.6667,0.0,0.0385,1.0,0.9862,1.0,0.9,0.9538,cypher,2002.0,[],[],False,False,False,False,False,0,0.0,0.0,-14.135814666748047,0.0,0.0,0.0,0.0,0.0,False
440907,David Hockney: A Bigger Picture,2009.0,0.0,0.4546,0.1819,David Lynch: The Art Life,1.0,0.1111,0.0,0.0,0.6869,1.0,0.9757,0.9857,david hockney: a bigger picture,2009.0,[],[],False,False,False,False,False,0,0.0,0.0,-14.135814666748047,0.0,0.0,0.0,0.0,0.0,False
11868,Dracula,1958.0,0.2142,0.4735,0.3179,Dracula,1.0,0.1364,0.0,0.0,0.9651,1.0,0.99,0.9695,dracula,1958.0,[],[],True,False,False,False,False,2,0.0,0.0,186.5985870361328,0.0,0.0,0.0,0.0,0.0,False
267935,The BFG,2016.0,0.0,0.5155,0.2062,E.T. the Extra-Terrestrial,0.75,0.0,0.0,1.0,0.9978,1.0,0.8703,0.692,the bfg,2016.0,[],[],False,False,False,False,False,0,0.0,0.9999999401197641,-14.135814666748047,0.0,0.7999999520958113,0.5999999640718584,0.39999997604790566,0.19999998802395277,False
879,Hook,1991.0,0.0,0.4737,0.1895,E.T. the Extra-Terrestrial,0.6,0.0,0.0,1.0,0.6869,1.0,0.9555,0.8313,hook,1991.0,[],[],False,False,False,False,False,0,0.0,0.0,-14.135814666748047,0.0,0.0,0.0,0.0,0.0,False
9352,EuroTrip,2004.0,0.0,0.455,0.182,Easy A,1.0,0.04,0.0,0.0,0.9994,1.0,0.9924,0.9483,eurotrip,2004.0,[],[],False,False,False,False,False,0,0.0,0.0,-14.135814666748047,0.0,0.0,0.0,0.0,0.0,False
2007,Lorenzo's Oil,1992.0,0.0,0.4543,0.1817,Erin Brockovich,1.0,0.0769,0.0,0.0,0.9912,1.0,0.8724,0.914,lorenzo's oil,1992.0,[],[],False,False,False,False,False,0,0.0,0.0,-14.135814666748047,0.0,0.0,0.0,0.0,0.0,False
28176,Tucker: The Man and His Dream,1988.0,0.0,0.4583,0.1833,Erin Brockovich,1.0,0.1667,0.0,0.0,0.8007,1.0,0.8777,0.8217,tucker: the man and his dream,1988.0,[],[],False,False,False,False,False,0,0.0,0.9999993750003907,-14.135814666748047,0.0,0.7999995000003126,0.5999996250002344,0.3999997500001563,0.1999998750000781,False
27996,Dr. Dolittle: Tail to the Chief,2008.0,0.0,0.4497,0.1799,Fat Albert,1.0,0.0,0.0256,0.0,0.9651,1.0,0.9759,0.95,dr. dolittle: tail to the chief,2008.0,[],[],False,False,False,False,False,0,0.0,0.0,-14.135814666748047,0.0,0.0,0.0,0.0,0.0,False
11797,Fright Night,1985.0,0.2592,0.46,0.3396,Fright Night,1.0,0.0769,0.0278,0.0,0.9994,1.0,0.9916,0.7908,fright night,1985.0,[],[],False,False,False,False,False,0,0.9999999961419752,0.9999999936748893,13.22262191772461,0.9999999999617636,0.9999999949322642,0.9999999961896391,0.9999999974470138,0.9999999987043888,False
25133,Transylvania 6-5000,1985.0,0.0,0.4538,0.1815,Fright Night,1.0,0.1,0.0,0.0,0.9104,1.0,0.9911,0.775,transylvania 6-5000,1985.0,[],[],False,False,False,False,False,0,0.0,0.0,-12.930427551269531,0.0,0.0,0.0,0.0,0.0,False
25944,Blood for Dracula,1974.0,0.0,0.4567,0.1827,Fright Night,1.0,0.0667,0.0,0.0,0.995,1.0,0.9983,0.875,blood for dracula,1974.0,[],[],False,False,False,False,False,0,0.0,0.007590132779316089,-12.930427551269531,0.0,0.0060721062234528715,0.004554079667589654,0.0030360531117264358,0.0015180265558632174,False
12110,Dracula: Dead and Loving It,1995.0,0.0,0.4584,0.1833,Fright Night,1.0,0.0909,0.0,0.0,0.8353,1.0,0.9952,0.973,dracula: dead and loving it,1995.0,[],[],False,False,False,False,False,0,0.0,0.011385199168974045,-12.930427551269531,0.0,0.009108159335179236,0.006831119501384427,0.004554079667589618,0.0022770398337948086,False
9431,Bordello of Blood,1996.0,0.0,0.4574,0.183,Fright Night,1.0,0.0769,0.0256,0.0,0.8183,1.0,0.9966,0.9225,bordello of blood,1996.0,[],[],False,False,False,False,False,0,0.0,0.009487665974145068,-12.930427551269531,0.0,0.007590132779316055,0.005692599584487041,0.0037950663896580273,0.001897533194829013,False
3146,The War of the Gargantuas,1966.0,0.0,0.5047,0.2019,Godzilla,0.5,0.1429,0.1111,1.0,0.9651,1.0,0.9372,0.6765,the war of the gargantuas,1966.0,[],[],True,False,False,False,False,2,0.0,0.0,24.551179885864258,0.0,0.0,0.0,0.0,0.0,True
9303,Bound,1996.0,0.0,0.4483,0.1793,Good Time,1.0,0.0,0.0,0.0,0.995,1.0,0.9724,0.9992,bound,1996.0,[],[],True,False,False,False,False,2,0.0,0.0,-14.135814666748047,0.0,0.0,0.0,0.0,0.0,True
2001,We Own the Night,2007.0,0.0,0.4559,0.1823,Good Time,1.0,0.0968,0.0,0.0,0.8674,1.0,0.9932,0.8695,we own the night,2007.0,[],[],False,False,False,False,False,0,0.0,0.9999996666667778,-14.135814666748047,0.0,0.7999997333334222,0.5999998000000666,0.3999998666667111,0.1999999333333555,False
9519,Chopper,2000.0,0.0,0.4493,0.1797,Good Time,1.0,0.0333,0.0,0.0,0.9651,1.0,0.9988,0.8892,chopper,2000.0,[],[],False,False,False,False,False,0,0.0,0.13333328888890741,-14.135814666748047,0.0,0.10666663111112594,0.07999997333334445,0.05333331555556297,0.026666657777781478,False
468,My Own Private Idaho,1991.0,0.0,0.5703,0.2281,Good Will Hunting,1.0,0.0233,0.0,1.0,0.7454,1.0,0.8312,0.736,my own private idaho,1991.0,[],[],True,False,False,False,False,2,0.0,0.9999999285714337,13.999171257019043,0.9999999999644571,0.9999999428500385,0.9999999571286431,0.9999999714072478,0.9999999856858524,False
1665,Last Days,2005.0,0.0,0.5352,0.2141,Good Will Hunting,1.0,0.0,0.0,1.0,0.6065,1.0,0.7525,0.3445,last days,2005.0,[],[],False,False,False,False,False,0,0.0,0.0,-14.135814666748047,0.0,0.0,0.0,0.0,0.0,False
1636,Bedazzled,2000.0,0.0,0.5159,0.2064,Groundhog Day,0.75,0.0,0.0256,1.0,0.9651,1.0,0.8829,0.617,bedazzled,2000.0,[],[],False,False,False,False,False,0,0.0,0.0,-14.135814666748047,0.0,0.0,0.0,0.0,0.0,False
2018,The Wedding Planner,2001.0,0.0,0.5011,0.2004,Hairspray,0.6667,0.0,0.0,1.0,0.8968,1.0,0.9762,0.816,the wedding planner,2001.0,[],[],False,False,False,False,False,0,0.0,0.0,-14.135814666748047,0.0,0.0,0.0,0.0,0.0,False
25161,George Carlin: Jammin' in New York,1992.0,0.0,0.4642,0.1857,Hannah Gadsby: Nanette,1.0,0.0909,0.0,0.0,0.946,1.0,0.9973,0.9775,george carlin: jammin' in new york,1992.0,[],[],False,False,False,False,False,0,0.0,0.0,-14.135814666748047,0.0,0.0,0.0,0.0,0.0,False
9373,The Texas Chainsaw Massacre,2003.0,0.0,0.4512,0.1805,Hostel,1.0,0.0435,0.0,0.0,0.9912,1.0,0.9464,0.912,the texas chainsaw massacre,2003.0,[],[],False,False,False,False,False,0,0.0,0.0,-14.135814666748047,0.0,0.0,0.0,0.0,0.0,False
10158,White Men Can't Jump,1992.0,0.0,0.4544,0.1818,Hustle,1.0,0.0952,0.0,0.0,0.9978,1.0,0.9812,0.728,white men can't jump,1992.0,[],[],False,False,False,False,False,0,0.0,0.0,-14.135814666748047,0.0,0.0,0.0,0.0,0.0,False
